id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
140,2025-08-12,AAPL,230.04,229.65,228.31,231.77,233.49,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-13 07:47:02
105,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:35
108,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:41
111,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:28:56
114,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:37
117,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:30:56
120,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:37:18
123,2025-08-11,AAPL,228.86,227.18,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:40:49
126,2025-08-11,AAPL,228.86,228.63,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
129,2025-08-11,AAPL,228.86,228.63,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:12:52
132,2025-08-11,AAPL,228.86,228.63,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 14:13:32
135,2025-08-11,AAPL,228.86,228.63,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:46
138,2025-08-11,AAPL,228.86,228.63,227.14,230.57,232.29,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 19:31:50
106,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:35
109,2025-08-11,NVDA,182.88,182.06,181.51,184.25,185.62,closed,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-12 04:27:41
